,period_id,score,score_activity_balance,score_previous_day,score_previous_night,score_recovery_index,score_resting_hr,score_sleep_balance,score_temperature,summary_date,score_hrv_balance
108,0,62,92,92,64,40,54,56,56,2020-01-14,0.0
109,0,74,91,94,76,68,66,66,100,2020-01-15,
110,1,70,90,0,34,76,100,63,96,2020-01-16,
111,0,48,89,0,1,71,47,52,100,2020-01-17,
112,0,65,89,0,83,63,48,56,99,2020-01-18,
113,0,72,88,0,49,95,96,55,98,2020-01-19,
114,0,82,88,0,85,100,86,68,100,2020-01-20,
115,0,72,88,0,53,75,93,63,100,2020-01-21,
116,0,76,88,95,68,74,83,64,93,2020-01-22,
117,0,84,87,0,80,100,99,69,88,2020-01-23,
118,0,84,87,0,83,97,94,71,100,2020-01-24,
119,0,64,80,0,33,58,81,67,95,2020-01-25,
120,0,70,82,0,48,90,85,61,97,2020-01-26,
121,0,73,84,0,60,100,86,59,98,2020-01-27,
122,0,69,88,0,83,58,60,64,90,2020-01-28,
123,0,73,87,0,53,95,91,61,93,2020-01-29,
